IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
3,50,64610.16861,68
3,51,51499.32503,56
3,52,35619.55325,36
3,53,76547.59757,80
3,54,28951.11698,26
3,55,96278.37595,84
3,56,54131.28071,61
3,57,43417.59053,45
3,58,56709.52831,63
3,59,35768.63564,37
3,60,33173.57334,33
3,61,27472.76233,23
3,62,23064.37834,20
3,63,35474.66019,35
3,64,43437.37815,46
3,65,20576.47963,15
3,66,42066.0583,44
3,67,16529.36377,10
3,68,22431.62721,19
3,69,32688.5772,30
3,70,20574.84746,14
3,71,66753.84282,71
3,72,13458.87391,8
3,73,20627.57783,16
3,74,25454.21164,22
3,75,10446.85691,4
3,76,49547.56631,54
3,77,11117.44083,5
3,78,7355.256312,2
3,79,32877.24296,31
3,80,46982.8627,52
3,81,58952.36563,65
3,82,21718.37803,18
3,83,24494.91146,21
3,84,68368.94698,73
3,85,12681.75627,7
3,86,71736.35808,77
3,87,65735.20511,69
3,88,88286.70344,82
4,1,37592.13923,28
4,2,20717.36986,9
4,3,30730.62373,20
4,5,67618.7908,53
4,6,83063.63918,64
4,7,43452.01998,32
4,8,29247.89096,17
4,9,128326.2268,87
4,10,50086.63042,40
4,11,23856.04163,14
4,12,11870.53651,4
4,13,11458.69927,3
4,14,17585.10059,7
4,15,58295.01687,50
4,16,46270.15189,36
4,17,27381.92347,16
4,18,52175.59473,42
4,19,35797.50508,25
4,20,70883.64083,57
4,21,92959.5428,75
4,22,21487.29503,10
4,23,83171.95522,65
4,24,29312.91305,18
4,25,25553.70037,15
4,26,77749.54023,62
4,27,51494.80383,41
4,28,64800.11351,51
4,29,32355.77269,21
4,30,99110.01937,80
4,31,43751.20247,33
4,32,34476.5904,22
4,33,69278.62221,55
4,34,53924.91814,44
4,35,71496.29841,58
4,36,46167.33705,35
4,37,116108.4458,85
4,38,84015.40461,68
4,39,83972.20962,67
4,40,111931.454,84
4,41,92696.80657,74
4,42,87343.41168,70
4,43,99655.75693,81
4,44,84791.81304,69
4,45,94930.78341,76
4,46,90752.8518,73
4,47,88482.85147,71
4,48,54062.67896,45
4,49,53147.76224,43
4,50,90194.72547,72
4,51,68876.22311,54
4,52,46497.46682,37
4,53,105190.2202,83
4,54,16707.18515,6
4,55,73942.25746,60
4,56,77739.7848,61
4,57,66293.31929,52
4,58,83889.29921,66
4,59,56447.0633,48
4,60,36707.65484,27
4,61,47387.7401,39
4,62,34986.72548,24
4,63,19242.2639,8
4,64,22370.13048,11
4,65,43909.18698,34
4,66,70731.66116,56
4,67,34632.37369,23
4,68,23035.98742,13
4,69,10779.39022,2
4,70,47000.44154,38
4,71,96777.18723,78
4,72,38917.71695,29
4,73,16690.70486,5
4,74,54766.67352,46
4,75,30179.82027,19
4,76,79588.99297,63
4,77,22962.20162,12
4,78,35806.75286,26
4,79,57563.27299,49
4,80,72696.54515,59
4,81,40076.37976,30
4,82,10475.27337,1
4,83,54871.48191,47
4,84,98901.24548,79
4,85,42687.80611,31
4,86,102464.8982,82
4,87,96265.47127,77
4,88,118800.4178,86
5,1,30094.88607,18
5,2,46901.42578,48
5,3,36969.93595,32
5,4,67618.7908,69
5,6,42895.06394,41
5,7,77869.8442,79
5,8,65036.66989,67
5,9,60980.95345,64
5,10,18915.64469,6
5,11,46826.44298,47
5,12,57748.75958,59
5,13,64064.44576,66
5,14,81306.13222,80
5,15,19259.44896,7
5,16,28919.70674,16
5,17,51395.46092,52
5,18,69837.43064,72
5,19,39232.73646,35
5,20,16875.32047,5
5,21,31894.41502,24
5,22,74997.64683,76
5,23,23869.87243,8
5,24,85536.6228,81
5,25,66136.58061,68
5,26,25863.79989,11
5,27,36522.38934,31
5,28,28126.9261,15
5,29,59187.41008,61
